nth vaddr       bind type lib                                  name
47  0x1400ad400 NONE FUNC MSVCP140.dll                         ?width@ios_base@std@@QEBA_JXZ
48  0x1400ad408 NONE FUNC MSVCP140.dll                         ?width@ios_base@std@@QEAA_J_J@Z
49  0x1400ad410 NONE FUNC MSVCP140.dll                         ??0?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAA@XZ
50  0x1400ad418 NONE FUNC MSVCP140.dll                         ??1?$basic_streambuf@DU?$char_traits@D@std@@@std@@UEAA@XZ
51  0x1400ad420 NONE FUNC MSVCP140.dll                         ?getloc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QEBA?AVlocale@2@XZ
52  0x1400ad428 NONE FUNC MSVCP140.dll                         ?sbumpc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QEAAHXZ
53  0x1400ad430 NONE FUNC MSVCP140.dll                         ?sgetc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QEAAHXZ
54  0x1400ad438 NONE FUNC MSVCP140.dll                         ?snextc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QEAAHXZ
55  0x1400ad440 NONE FUNC MSVCP140.dll                         ?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QEAAHD@Z
56  0x1400ad448 NONE FUNC MSVCP140.dll                         ?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QEAA_JPEBD_J@Z
57  0x1400ad450 NONE FUNC MSVCP140.dll                         ?eback@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEBAPEADXZ
58  0x1400ad458 NONE FUNC MSVCP140.dll                         ?gptr@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEBAPEADXZ
59  0x1400ad460 NONE FUNC MSVCP140.dll                         ?pptr@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEBAPEADXZ
60  0x1400ad468 NONE FUNC MSVCP140.dll                         ?egptr@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEBAPEADXZ
61  0x1400ad470 NONE FUNC MSVCP140.dll                         ?gbump@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAAXH@Z
62  0x1400ad478 NONE FUNC MSVCP140.dll                         ?setg@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAAXPEAD00@Z
63  0x1400ad480 NONE FUNC MSVCP140.dll                         ?epptr@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEBAPEADXZ
64  0x1400ad488 NONE FUNC MSVCP140.dll                         ?_Gndec@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAAPEADXZ
65  0x1400ad490 NONE FUNC MSVCP140.dll                         ?_Gninc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAAPEADXZ
66  0x1400ad498 NONE FUNC MSVCP140.dll                         ?_Gnavail@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEBA_JXZ
67  0x1400ad4a0 NONE FUNC MSVCP140.dll                         ?pbump@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAAXH@Z
68  0x1400ad4a8 NONE FUNC MSVCP140.dll                         ?setp@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAAXPEAD0@Z
69  0x1400ad4b0 NONE FUNC MSVCP140.dll                         ?setp@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAAXPEAD00@Z
70  0x1400ad4b8 NONE FUNC MSVCP140.dll                         ?seekg@?$basic_istream@DU?$char_traits@D@std@@@std@@QEAAAEAV12@V?$fpos@U_Mbstatet@@@2@@Z
71  0x1400ad4c0 NONE FUNC MSVCP140.dll                         ?read@?$basic_istream@DU?$char_traits@D@std@@@std@@QEAAAEAV12@PEAD_J@Z
72  0x1400ad4c8 NONE FUNC MSVCP140.dll                         ?_Ipfx@?$basic_istream@DU?$char_traits@D@std@@@std@@QEAA_N_N@Z
73  0x1400ad4d0 NONE FUNC MSVCP140.dll                         ??1?$basic_istream@DU?$char_traits@D@std@@@std@@UEAA@XZ
