nth vaddr       bind type lib                                  name
8   0x1400ad9a8 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      setvbuf
9   0x1400ad9b0 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fwrite
10  0x1400ad9b8 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      _fseeki64
11  0x1400ad9c0 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fsetpos
12  0x1400ad9c8 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fputc
13  0x1400ad9d0 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fgetpos
14  0x1400ad9d8 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fflush
15  0x1400ad9e0 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      _get_stream_buffer_pointers
16  0x1400ad9e8 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fclose
17  0x1400ad9f0 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      feof
18  0x1400ad9f8 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      ferror
19  0x1400ada00 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      _set_fmode
20  0x1400ada08 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fgetc
21  0x1400ada10 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      ungetc
22  0x1400ada18 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      ftell
23  0x1400ada20 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fseek
24  0x1400ada28 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      __stdio_common_vsscanf
1   0x1400ad820 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll       _set_new_mode
2   0x1400ad828 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll       free
3   0x1400ad830 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll       calloc
4   0x1400ad838 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll       _callnewh
5   0x1400ad840 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll       realloc
6   0x1400ad848 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll       malloc
1   0x1400ad870 NONE FUNC api-ms-win-crt-math-l1-1-0.dll       fmodf
2   0x1400ad878 NONE FUNC api-ms-win-crt-math-l1-1-0.dll       cosf
3   0x1400ad880 NONE FUNC api-ms-win-crt-math-l1-1-0.dll       ceilf
4   0x1400ad888 NONE FUNC api-ms-win-crt-math-l1-1-0.dll       acosf
5   0x1400ad890 NONE FUNC api-ms-win-crt-math-l1-1-0.dll       sinf
6   0x1400ad898 NONE FUNC api-ms-win-crt-math-l1-1-0.dll       ldexp
7   0x1400ad8a0 NONE FUNC api-ms-win-crt-math-l1-1-0.dll       pow
8   0x1400ad8a8 NONE FUNC api-ms-win-crt-math-l1-1-0.dll       sqrtf
9   0x1400ad8b0 NONE FUNC api-ms-win-crt-math-l1-1-0.dll       __setusermatherr
1   0x1400ad7f8 NONE FUNC api-ms-win-crt-convert-l1-1-0.dll    strtol
1   0x1400ad808 NONE FUNC api-ms-win-crt-filesystem-l1-1-0.dll _lock_file
2   0x1400ad810 NONE FUNC api-ms-win-crt-filesystem-l1-1-0.dll _unlock_file
1   0x1400ada80 NONE FUNC api-ms-win-crt-utility-l1-1-0.dll    qsort
1   0x1400ad858 NONE FUNC api-ms-win-crt-locale-l1-1-0.dll     ___lc_codepage_func
2   0x1400ad860 NONE FUNC api-ms-win-crt-locale-l1-1-0.dll     _configthreadlocale
